,City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Long
0,Tasiilaq,GL,1584217467,5.0,65,20,1.12,65.61,-37.64
1,Auki,SB,1584217467,84.33,79,100,15.88,-8.77,160.7
2,Hervey Bay,AU,1584217468,66.99,82,90,5.82,-25.3,152.85
3,Airai,TL,1584217468,63.99,83,18,2.91,-8.93,125.41
4,Salalah,OM,1584217469,77.0,61,75,8.05,17.02,54.09
5,Kapaa,US,1584217469,75.2,60,1,9.17,22.08,-159.32
6,Ust'-Koksa,RU,1584217470,18.63,88,100,10.29,50.27,85.61
7,Ilebo,CD,1584217359,72.63,89,100,1.61,-4.32,20.58
8,Bluff,NZ,1584217471,54.0,84,100,3.0,-46.6,168.33
9,Hofn,IS,1584217472,31.77,66,100,22.03,64.25,-15.21
10,Port Alfred,ZA,1584217472,68.0,88,92,3.0,-33.59,26.89
11,Hasaki,JP,1584217472,33.8,100,75,4.7,35.73,140.83
12,El Arenal,MX,1584217473,91.99,20,20,5.82,20.78,-103.7
13,Barrow,US,1584217473,12.2,92,90,34.45,71.29,-156.79
14,Lebu,CL,1584217474,62.73,55,0,13.42,-37.62,-73.65
15,Arica,CL,1584217425,78.8,57,4,16.11,-18.48,-70.3
16,Lorengau,PG,1584217475,83.79,78,100,12.21,-2.02,147.27
17,Jamestown,US,1584217476,39.99,59,1,6.93,42.1,-79.24
18,Busselton,AU,1584217476,66.0,98,98,10.11,-33.65,115.33
19,Okhotsk,RU,1584217476,0.99,87,100,5.95,59.38,143.3
20,Butaritari,KI,1584217477,83.61,70,100,9.13,3.07,172.79
21,Flin Flon,CA,1584217477,8.6,50,90,4.7,54.77,-101.86
22,Asău,RO,1584217478,44.6,48,75,9.17,46.43,26.4
23,Havøysund,NO,1584217478,19.4,67,100,34.45,71.0,24.66
24,Dikson,RU,1584217391,-15.75,99,57,11.54,73.51,80.55
25,Turki,RU,1584217480,33.75,91,0,10.78,51.99,43.27
26,Ushuaia,AR,1584217272,55.4,47,20,6.93,-54.8,-68.3
27,Te Anau,NZ,1584217481,51.03,69,100,2.48,-45.42,167.72
28,Port-Cartier,CA,1584217481,32.0,77,75,10.29,50.03,-66.87
29,Hong Kong,HK,1584217482,69.01,56,20,9.17,22.29,114.16
30,Rikitea,PF,1584217482,77.67,80,0,13.69,-23.12,-134.97
31,Port Elizabeth,ZA,1584217482,66.2,88,20,12.75,-33.92,25.57
32,Mayumba,GA,1584217483,83.79,82,100,5.75,-3.43,10.66
33,Carnarvon,AU,1584217483,77.0,83,75,9.17,-24.87,113.63
34,Kachīry,KZ,1584217484,35.37,95,100,16.44,53.07,76.1
35,Hobart,AU,1584217462,53.01,81,75,5.82,-42.88,147.33
36,Homer,US,1584217485,28.0,73,1,1.72,59.64,-151.55
37,Ostrovnoy,RU,1584217485,10.89,94,100,13.11,68.05,39.51
38,Castro,BR,1584217486,73.17,59,0,2.06,-24.79,-50.01
39,Port Hawkesbury,CA,1584217486,37.99,80,90,11.41,45.62,-61.35
40,Arraial do Cabo,BR,1584217487,80.6,83,40,11.41,-22.97,-42.03
41,Östersund,SE,1584217487,26.6,45,40,11.41,63.18,14.64
42,Batagay-Alyta,RU,1584217488,-29.43,84,0,4.16,67.8,130.41
43,Puerto Ayora,EC,1584217488,86.0,70,20,11.41,-0.74,-90.35
44,Vaini,TO,1584217489,82.4,83,75,13.87,-21.2,-175.2
45,Atuona,PF,1584217489,81.45,78,12,12.86,-9.8,-139.03
46,Keti Bandar,PK,1584217490,70.11,54,100,7.07,24.14,67.45
47,Albany,US,1584217490,46.0,48,40,18.34,42.6,-73.97
48,Znamenskoye,RU,1584217491,34.65,86,88,12.01,57.13,73.83
49,Tiksi,RU,1584217491,-16.11,80,0,8.46,71.69,128.87
50,Monywa,MM,1584217492,77.85,32,62,3.96,22.12,95.13
51,Busko-Zdrój,PL,1584217492,35.01,47,0,5.64,50.47,20.72
52,Hilo,US,1584217493,75.2,83,90,3.36,19.73,-155.09
53,Cabo San Lucas,MX,1584217493,82.4,42,20,19.46,22.89,-109.91
54,Usinsk,RU,1584217553,7.29,86,100,11.43,65.99,57.53
55,Alice Springs,AU,1584217554,69.8,49,90,4.7,-23.7,133.88
56,Mount Gambier,AU,1584217554,53.6,76,90,8.05,-37.83,140.77
57,Fortuna,US,1584217555,50.0,81,75,8.05,40.6,-124.16
58,East London,ZA,1584217555,73.89,78,51,8.93,-33.02,27.91
59,Vila Franca do Campo,PT,1584217556,60.8,72,20,12.75,37.72,-25.43
60,Yangi Marg`ilon,UZ,1584217556,48.2,70,0,6.93,40.43,71.72
61,Cape Town,ZA,1584217557,69.01,88,20,18.34,-33.93,18.42
62,Aykhal,RU,1584217557,15.8,92,70,6.71,66.0,111.5
63,Tuktoyaktuk,CA,1584217558,21.2,85,90,26.4,69.45,-133.04
64,Avanigadda,IN,1584217559,73.89,85,0,4.97,16.02,80.92
65,Sundargarh,IN,1584217559,68.13,76,55,11.54,22.12,84.03
66,Kushima,JP,1584217560,42.01,60,0,11.99,31.46,131.23
67,Faanui,PF,1584217560,83.07,77,2,15.75,-16.48,-151.75
68,Oxchuc,MX,1584217560,82.35,43,0,5.88,16.85,-92.42
69,Saint-Louis,SN,1584217561,93.2,15,68,6.93,16.33,-15.0
70,Lambaréné,GA,1584217561,76.41,94,100,1.97,-0.7,10.24
71,Lavrentiya,RU,1584217562,20.07,57,100,4.83,65.58,-171.0
72,Sandwick,GB,1584217562,44.6,87,75,19.46,60.0,-1.25
73,Saint Paul Harbor,US,1584217563,33.8,59,1,5.82,57.79,-152.41
74,Punta Arenas,CL,1584217563,59.0,58,75,20.8,-53.15,-70.92
75,Sisophon,KH,1584217564,82.35,75,100,6.49,13.59,102.97
76,Misratah,LY,1584217564,66.15,60,31,3.94,32.38,15.09
77,Carutapera,BR,1584217565,81.45,83,67,13.78,-1.2,-46.02
78,Safford,US,1584217565,64.4,36,1,8.05,32.83,-109.71
79,George Town,MY,1584217566,84.2,88,20,3.62,5.41,100.34
80,Biak,ID,1584217566,81.63,70,70,7.2,-0.91,122.88
81,Mason City,US,1584217567,34.0,80,90,12.75,43.15,-93.2
82,Tigil',RU,1584217567,15.03,84,95,14.41,57.8,158.67
83,São Filipe,CV,1584217568,75.15,51,27,15.95,14.9,-24.5
84,Lyuban',BY,1584217568,25.83,89,63,12.82,52.8,28.0
85,Lüderitz,NA,1584217569,68.0,77,0,16.11,-26.65,15.16
86,Qaanaaq,GL,1584217569,-20.25,61,0,5.26,77.48,-69.36
87,Alanya,TR,1584217386,55.4,100,0,3.36,36.54,32.0
88,Karasjok,NO,1584217570,14.0,61,100,38.03,69.47,25.51
89,Nouadhibou,MR,1584217571,68.0,72,0,18.34,20.93,-17.03
90,Bilma,NE,1584217571,66.69,16,0,6.73,18.69,12.92
91,Touros,BR,1584217572,82.4,74,40,9.17,-5.2,-35.46
92,Baza,ES,1584217572,55.0,74,8,5.99,37.49,-2.77
93,Raymond Terrace,AU,1584217573,66.0,72,40,17.22,-32.75,151.75
94,Manggar,ID,1584217574,81.99,72,100,2.62,-2.88,108.27
95,Hambantota,LK,1584217387,78.93,78,20,16.26,6.12,81.12
96,Jashpurnagar,IN,1584217575,58.59,93,64,1.74,22.9,84.15
97,Hermanus,ZA,1584217575,64.99,88,53,13.4,-34.42,19.23
98,Bandarbeyla,SO,1584217576,78.57,80,53,11.45,9.49,50.81
99,Mutoko,ZW,1584217577,69.93,84,99,2.48,-17.4,32.23
100,Ulaangom,MN,1584217577,-3.51,98,78,1.1,49.98,92.07
101,Mar del Plata,AR,1584217578,71.01,64,0,12.75,-38.0,-57.56
102,Toamasina,MG,1584217578,77.0,88,75,11.41,-18.17,49.38
103,Katobu,ID,1584217579,75.15,94,99,2.1,-4.94,122.53
104,New Norfolk,AU,1584217579,53.01,81,75,5.82,-42.78,147.06
105,San Patricio,MX,1584217580,86.0,74,20,11.41,19.22,-104.7
106,Bredasdorp,ZA,1584217352,68.0,72,67,8.05,-34.53,20.04
107,Bethel,US,1584217581,55.4,34,1,10.29,41.37,-73.41
108,Ridgecrest,US,1584217582,61.0,44,1,28.86,35.62,-117.67
109,Moindou,NC,1584217582,77.0,94,90,3.36,-21.69,165.68
110,Chui,UY,1584217642,74.07,86,60,16.78,-33.7,-53.46
111,Provideniya,RU,1584217534,19.89,81,100,5.12,64.38,-173.3
112,Saint-Philippe,RE,1584217643,78.8,83,40,13.87,-21.36,55.77
113,Hokitika,NZ,1584217643,56.43,82,29,6.22,-42.72,170.97
114,Egvekinot,RU,1584217644,2.43,76,0,3.96,66.32,-179.17
115,Udachny,RU,1584217644,15.8,92,36,6.71,66.42,112.4
116,Pisco,PE,1584217645,77.0,30,100,19.46,-13.7,-76.22
117,The Valley,AI,1584217429,82.4,65,40,5.82,18.22,-63.06
118,Walvis Bay,NA,1584217646,66.2,77,0,8.05,-22.96,14.51
119,Mataura,NZ,1584217646,54.0,84,100,3.0,-46.19,168.86
120,Fort Nelson,CA,1584217647,14.0,36,20,3.36,58.81,-122.7
121,Pilar,BR,1584217647,82.4,74,75,11.41,-9.6,-35.96
122,Ban Dung,TH,1584217648,76.77,62,100,10.67,17.7,103.26
123,Tuatapere,NZ,1584217648,54.0,84,100,3.0,-46.13,167.68
124,Kolyvan',RU,1584217649,33.8,80,90,15.66,55.31,82.74
125,Caravelas,BR,1584217650,80.55,79,97,11.88,-17.71,-39.25
126,Białogard,PL,1584217650,36.0,48,0,5.95,54.01,15.99
127,Puerto Peñasco,MX,1584217651,64.99,79,0,10.0,31.32,-113.53
128,Iqaluit,CA,1584217651,-14.01,62,20,14.99,63.75,-68.51
129,Shenkursk,RU,1584217375,18.45,87,4,5.66,62.11,42.9
130,Naze,JP,1584217652,59.0,51,54,19.46,28.37,129.48
131,Santiago,CL,1584217594,88.0,30,0,9.17,-33.46,-70.65
132,La Santisima Trinidad,BO,1584217393,91.4,63,75,3.36,-14.83,-64.9
133,Husavik,IS,1584217654,6.8,84,40,12.75,66.04,-17.34
134,Richards Bay,ZA,1584217654,77.31,87,0,7.52,-28.78,32.04
135,Elbistan,TR,1584217655,40.05,86,4,0.81,38.21,37.2
136,Khasan,RU,1584217655,29.43,82,100,3.53,42.43,130.64
137,Banyo,CM,1584217656,67.95,19,0,3.89,6.75,11.82
138,Vyshkov,RU,1584217657,30.2,68,75,13.42,52.48,31.69
139,Karratha,AU,1584217657,83.07,76,88,14.34,-20.74,116.85
140,Oktyabr'skoye,RU,1584217658,48.51,84,100,2.57,43.06,44.74
141,Huarmey,PE,1584217658,81.45,53,96,9.46,-10.07,-78.15
142,Laas,IT,1584217659,39.99,93,40,3.36,46.62,10.7
143,Petropavlovsk-Kamchatskiy,RU,1584217659,14.0,72,0,4.47,53.05,158.65
144,Leningradskiy,RU,1584217660,-6.21,72,29,6.96,69.38,178.42
145,Port Blair,IN,1584217660,81.99,69,25,6.26,11.67,92.75
146,Geraldton,AU,1584217661,73.4,88,40,11.41,-28.77,114.6
147,Santa Cruz del Sur,CU,1584217661,81.09,72,0,11.7,20.71,-78.0
148,Thompson,CA,1584217662,6.8,46,20,2.24,55.74,-97.86
149,Bouna,CI,1584217663,89.19,40,67,8.61,9.27,-3.0
150,Ponta do Sol,PT,1584217663,60.8,63,75,11.41,32.67,-17.1
151,Tarbert,GB,1584217664,50.0,87,100,27.51,55.86,-5.42
152,Katakwi,UG,1584217664,75.33,66,100,7.54,1.89,33.97
153,San Cristobal,VE,1584217665,84.2,62,75,9.17,7.77,-72.22
154,Malé,MV,1584217584,84.2,79,20,5.82,4.17,73.51
155,Lompoc,US,1584217666,59.0,82,90,8.05,34.64,-120.46
156,Port Macquarie,AU,1584217666,62.6,100,75,12.75,-31.43,152.92
157,Sitka,US,1584217667,37.4,59,1,4.38,57.05,-135.33
158,Kyabé,TD,1584217667,80.73,9,0,4.25,9.45,18.94
159,Faya,SA,1584217668,60.8,82,5,11.41,18.39,42.45
160,Yar-Sale,RU,1584217668,2.43,89,98,16.73,66.83,70.83
161,Iwanai,JP,1584217669,17.91,84,1,4.63,42.97,140.51
162,Salem,IN,1584217669,74.79,76,41,1.7,11.65,78.17
163,Coquimbo,CL,1584217594,66.2,77,20,14.99,-29.95,-71.34
164,Mayo,US,1584217670,59.0,26,90,3.36,38.89,-76.51
165,Pamplona,ES,1584217671,51.8,75,1,2.24,42.82,-1.64
166,Robe,AU,1584217731,49.05,89,0,6.51,-37.18,139.75
167,Brae,GB,1584217732,44.6,87,100,16.11,60.4,-1.35
168,Stanley,FK,1584217544,57.2,62,60,9.17,-51.7,-57.85
169,Payo,ID,1584217733,69.75,97,100,1.66,-3.75,103.64
170,Springbok,ZA,1584217733,55.89,75,0,5.59,-29.66,17.89
171,Avarua,CK,1584217734,84.2,74,37,6.93,-21.21,-159.78
172,Vila Velha,BR,1584217534,84.0,74,40,9.17,-20.33,-40.29
173,Shimokizukuri,JP,1584217735,32.0,88,66,1.01,40.81,140.39
174,Culebra,PR,1584217735,84.0,65,40,10.29,18.3,-65.3
175,Burnie,AU,1584217736,52.0,77,44,5.01,-41.07,145.92
176,Corrente,BR,1584217736,76.41,95,98,3.69,-3.74,-43.34
177,Sechura,PE,1584217737,75.15,86,95,16.62,-5.56,-80.82
178,Nānākuli,US,1584217738,80.6,73,75,5.82,21.39,-158.15
179,Weligama,LK,1584217739,72.63,88,4,5.14,5.97,80.42
180,Antalaha,MG,1584217739,79.11,90,100,57.18,-14.9,50.28
181,Upernavik,GL,1584217740,-10.35,97,100,3.56,72.79,-56.15
182,Magnitka,RU,1584217741,29.97,98,100,2.55,55.35,59.7
183,Amapá,BR,1584217741,78.03,91,100,2.06,1.0,-52.0
184,Gillette,US,1584217742,30.99,86,90,27.51,44.29,-105.5
185,Esperance,AU,1584217742,64.4,93,40,13.87,-33.87,121.9
186,Itarema,BR,1584217743,77.49,92,98,4.09,-2.92,-39.92
187,Constitución,CL,1584217743,65.79,50,67,12.33,-35.33,-72.42
188,Liverpool,GB,1584217514,52.0,81,75,17.22,53.41,-2.98
189,Aklavik,CA,1584217744,24.8,67,90,9.17,68.22,-135.01
190,Torbay,CA,1584217744,39.0,80,20,28.86,47.67,-52.73
191,Olafsvik,IS,1584217745,26.19,70,63,12.1,64.89,-23.71
192,Port Hedland,AU,1584217746,78.8,83,7,10.29,-20.32,118.57
193,Alofi,NU,1584217747,82.4,83,75,6.93,-19.06,-169.92
194,Shimoda,JP,1584217747,41.0,93,40,3.36,34.67,138.95
195,Cherskiy,RU,1584217748,-8.73,82,100,3.13,68.75,161.3
196,Lębork,PL,1584217748,30.99,73,0,2.24,54.54,17.75
197,Nelson Bay,AU,1584217749,66.0,72,40,17.22,-32.72,152.15
198,Mahébourg,MU,1584217465,77.0,94,75,3.36,-20.41,57.7
199,Sambava,MG,1584217750,72.63,97,100,7.31,-14.27,50.17
200,Kumul,CN,1584217750,35.91,31,60,4.12,42.8,93.45
201,Kruisfontein,ZA,1584217751,62.19,93,42,7.58,-34.0,24.73
202,Northam,GB,1584217751,51.01,81,75,11.41,51.03,-4.22
203,Kholodnyy,RU,1584217752,-12.33,89,100,4.21,62.72,147.95
204,Srednekolymsk,RU,1584217752,-15.75,89,100,14.18,67.45,153.68
205,Norman Wells,CA,1584217753,19.4,57,90,3.36,65.28,-126.83
206,Adrar,MR,1584217753,70.47,8,0,3.89,20.5,-10.07
207,Kawalu,ID,1584217754,70.83,96,97,1.43,-7.38,108.21
208,Broken Hill,AU,1584217754,53.6,54,0,14.99,-31.95,141.43
209,Chokurdakh,RU,1584217705,-27.99,97,0,2.8,70.63,147.92
210,Qinzhou,CN,1584217755,66.33,66,95,4.7,21.95,108.62
211,Arman',RU,1584217755,5.85,94,100,3.47,59.7,150.17
212,Maceió,BR,1584217756,82.4,74,75,11.41,-9.67,-35.74
213,Sioux Lookout,CA,1584217756,21.2,37,90,9.17,50.1,-91.92
214,New Iberia,US,1584217757,80.6,69,75,9.17,30.0,-91.82
215,Baruun-Urt,MN,1584217757,14.31,93,51,2.42,46.68,113.28
216,Bukama,CD,1584217758,70.29,94,100,0.6,-9.2,25.85
217,Iracoubo,GF,1584217758,80.19,76,70,14.2,5.48,-53.2
218,Kaitangata,NZ,1584217759,57.99,77,100,16.71,-46.28,169.85
219,Cartagena,CO,1584217759,87.8,55,20,17.22,10.4,-75.51
220,Ribeira Grande,PT,1584217760,62.6,72,40,12.75,38.52,-28.7
221,Lagunas,PE,1584217820,92.97,50,40,2.77,-5.23,-75.68
222,Khatanga,RU,1584217821,25.29,88,100,12.8,71.97,102.5
223,Marawi,PH,1584217821,75.0,85,1,1.01,8.0,124.29
224,Genoa,IT,1584217715,57.0,62,20,4.7,44.41,8.96
225,Bima,ID,1584217822,71.91,98,100,0.83,-8.47,118.72
226,Luxor,EG,1584217823,68.0,60,0,7.83,25.7,32.64
227,Saskylakh,RU,1584217823,1.35,95,95,10.71,71.92,114.08
228,Lagoa,PT,1584217824,59.85,78,27,9.8,39.05,-27.98
229,Skeldon,GY,1584217825,80.55,78,5,16.49,5.88,-57.13
230,Yola,NG,1584217802,75.69,10,0,0.4,9.2,12.48
231,Fangshan,CN,1584217826,51.01,38,0,2.24,39.7,115.99
232,Bengkulu,ID,1584217827,74.61,91,95,3.27,-3.8,102.27
233,Seoul,KR,1584217708,39.2,86,75,1.12,37.57,126.98
234,Sulangan,PH,1584217828,78.75,81,100,15.1,11.14,123.72
235,Dunedin,NZ,1584217663,57.99,76,100,1.01,-45.87,170.5
236,Puerto Carreño,CO,1584217829,96.8,39,20,11.41,6.19,-67.49
237,Rafsanjān,IR,1584217830,59.49,31,100,20.76,30.41,55.99
238,Sarangani,PH,1584217830,80.01,71,81,4.63,5.4,125.46
239,Saint George,US,1584217831,61.0,55,40,11.41,37.1,-113.58
240,Hithadhoo,MV,1584217831,83.07,64,85,4.07,-0.6,73.08
241,Ust-Nera,RU,1584217832,-28.71,96,0,1.16,64.57,143.2
242,Caldas Novas,BR,1584217744,76.41,85,6,3.31,-17.74,-48.62
243,Beşikdüzü,TR,1584217833,50.0,93,75,4.7,41.05,39.23
244,Cabedelo,BR,1584217833,84.2,74,40,10.29,-6.98,-34.83
245,Ýpsonas,CY,1584217834,63.0,77,0,10.29,34.69,32.96
246,Harindānga,IN,1584217834,66.2,88,20,7.09,22.04,88.32
247,Ginda,IN,1584217835,40.59,77,81,3.22,30.69,78.49
248,Arlit,NE,1584217836,74.43,12,0,7.83,18.74,7.39
249,Tugolesskiy Bor,RU,1584217836,32.49,97,76,9.15,55.55,39.82
250,Natchez,US,1584217837,81.0,69,1,10.29,31.56,-91.4
251,Ponta Delgada,PT,1584217837,60.8,72,20,12.75,37.73,-25.67
252,Victor Harbor,AU,1584217838,54.0,62,0,5.82,-35.57,138.62
253,Okha,RU,1584217838,-2.07,96,89,3.09,53.57,142.95
254,Mossamedes,AO,1584217839,76.23,75,100,4.09,-15.2,12.15
255,Port Lincoln,AU,1584217839,60.21,76,99,15.39,-34.73,135.87
256,Dalby,AU,1584217839,59.0,87,0,3.36,-27.18,151.27
257,Talnakh,RU,1584217840,30.2,100,75,22.37,69.49,88.4
258,Tuscaloosa,US,1584217840,80.01,57,1,3.36,33.21,-87.57
259,Tual,ID,1584217690,81.99,76,100,12.39,-5.67,132.75
260,Isangel,VU,1584217841,82.4,83,90,4.7,-19.55,169.27
261,Basoko,CD,1584217842,74.97,76,59,2.57,1.24,23.62
262,Pacasmayo,PE,1584217842,79.47,67,92,13.02,-7.4,-79.57
263,Griffith,US,1584217843,37.99,86,90,6.93,41.53,-87.42
264,Wuwei,CN,1584217844,31.23,36,82,4.34,37.93,102.64
265,Vestmannaeyjar,IS,1584217844,28.89,68,68,18.34,63.44,-20.27
266,Sabha,LY,1584217552,65.25,19,0,7.99,27.04,14.43
267,Maţāy,EG,1584217845,63.09,70,0,1.57,28.42,30.78
268,Departamento de Maldonado,UY,1584217846,71.6,88,68,8.05,-34.67,-54.92
269,Langfang,CN,1584217847,51.01,38,0,2.24,39.51,116.69
270,Baykit,RU,1584217847,28.35,93,100,5.79,61.67,96.37
271,Harper,LR,1584217848,77.67,93,67,3.02,4.38,-7.72
272,Maryville,US,1584217848,62.6,47,90,5.82,35.76,-83.97
273,Pangnirtung,CA,1584217849,-22.0,67,5,3.36,66.15,-65.71
274,Sorocaba,BR,1584217720,89.6,35,20,8.05,-23.5,-47.46
275,Pevek,RU,1584217850,-10.89,76,54,9.19,69.7,170.31
276,Monrovia,LR,1584217910,82.4,83,40,5.82,6.3,-10.8
277,Fasa,IR,1584217910,57.2,44,40,1.39,28.94,53.65
278,Kalmunai,LK,1584217911,81.09,75,43,10.33,7.42,81.82
