,City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Long
279,Bilibino,RU,1584217911,-11.61,80,100,4.76,68.05,166.44
280,Coyhaique,CL,1584217912,59.0,51,75,3.36,-45.58,-72.07
281,Mindelo,CV,1584217912,73.4,73,20,23.04,16.89,-24.98
282,Palmer,US,1584217913,52.0,36,90,19.46,42.16,-72.33
283,Mayma,RU,1584217914,36.09,63,100,11.03,52.02,85.91
284,Zyryanovsk,KZ,1584217914,19.71,71,67,2.24,49.74,84.27
285,Byron Bay,AU,1584217914,68.0,93,75,13.87,-28.65,153.62
286,Bago,MM,1584217915,77.0,83,0,4.7,17.34,96.48
287,Samandağ,TR,1584217915,57.2,100,75,3.36,36.08,35.98
288,Tongchuanshi,CN,1584217916,41.85,22,34,6.69,35.08,109.09
289,Vostok,RU,1584217917,7.65,96,100,2.06,46.49,135.88
290,Ngunguru,NZ,1584217917,63.0,85,0,5.99,-35.62,174.5
291,Gibara,CU,1584217918,87.8,43,20,18.34,21.11,-76.13
292,Preobrazheniye,RU,1584217918,25.47,80,100,3.6,42.9,133.91
293,Totolapan,MX,1584217919,84.99,70,5,8.05,18.52,-96.18
294,Ancud,CL,1584217919,60.8,59,34,6.93,-41.87,-73.82
295,Cloquet,US,1584217920,28.4,58,1,6.35,46.72,-92.46
296,Les Cayes,HT,1584217920,80.19,71,0,8.34,18.2,-73.75
297,Terrace Bay,CA,1584217921,24.8,58,40,11.41,48.78,-87.1
298,Manyana,BW,1584217921,73.17,49,0,7.47,-23.4,21.72
299,Longyearbyen,SJ,1584217826,-0.4,54,40,16.11,78.22,15.64
300,Pitsunda,GE,1584217713,50.0,93,90,8.95,43.16,40.34
301,Cururupu,BR,1584217923,78.39,93,100,3.02,-1.83,-44.87
302,Ilhéus,BR,1584217923,86.0,79,40,9.17,-14.79,-39.05
303,Sheridan,US,1584217924,39.2,60,90,19.46,44.83,-106.92
304,Ayagoz,KZ,1584217925,25.83,66,14,2.3,47.97,80.44
305,Bani Walid,LY,1584217925,62.73,36,0,5.01,31.76,13.99
306,Kharp,RU,1584217926,1.35,87,77,4.97,66.8,65.81
307,Hamilton,US,1584217926,39.99,93,90,9.17,39.18,-84.53
308,Cayenne,GF,1584217926,86.0,62,90,11.41,4.93,-52.33
309,Padang,ID,1584217927,68.31,93,83,4.54,-0.95,100.35
310,Sinnamary,GF,1584217927,80.19,76,70,14.2,5.38,-52.95
311,Cabinda,AO,1584217928,84.2,83,75,5.82,-5.55,12.2
312,Gandai,IN,1584217929,72.81,75,0,3.76,21.67,81.1
313,Aksarka,RU,1584217929,0.99,86,65,13.73,66.56,67.8
314,Cidreira,BR,1584217929,76.95,83,0,16.89,-30.18,-50.21
315,Nasunogan,PH,1584217930,70.83,85,17,4.14,11.07,124.57
316,Flinders,AU,1584217930,60.01,62,98,6.93,-34.58,150.86
317,Khovd,MN,1584217931,20.07,41,0,7.74,48.01,91.64
318,Maragogi,BR,1584217931,82.53,74,100,12.24,-9.01,-35.22
319,Zhuhai,CN,1584217932,69.01,68,20,9.17,22.28,113.57
320,Aripuanã,BR,1584217932,74.07,98,100,5.79,-9.17,-60.63
321,Todos Santos,MX,1584217932,82.4,57,5,13.87,23.45,-110.22
322,Beyneu,KZ,1584217933,52.47,78,100,7.78,45.32,55.2
323,Nemuro,JP,1584217934,30.51,71,100,14.34,43.32,145.57
324,Nhulunbuy,AU,1584217934,75.2,94,73,2.91,-12.23,136.77
325,Kalāleh,IR,1584217909,55.4,87,100,9.17,37.38,55.49
326,Nikolskoye,RU,1584217935,26.6,38,97,22.37,59.7,30.79
327,Lata,PT,1584217936,55.99,87,0,2.68,40.16,-8.33
328,Grand Gaube,MU,1584217936,77.0,94,75,3.36,-20.01,57.66
329,Moerai,PF,1584217937,79.29,70,89,3.02,-22.43,-151.33
330,Srandakan,ID,1584217937,75.15,92,0,4.07,-7.94,110.25
331,Sémbé,CG,1584217998,80.37,47,74,2.1,1.65,14.58
332,Muriwai Beach,NZ,1584217999,68.0,88,0,2.24,-36.82,174.45
333,Marzuq,YE,1584217999,65.25,64,19,4.56,14.4,46.47
334,Rāvar,IR,1584218000,65.97,17,100,13.47,31.27,56.81
335,Mehamn,NO,1584218000,11.61,77,100,15.95,71.04,27.85
336,Hirara,JP,1584218001,60.57,66,4,25.1,24.8,125.28
337,Tagusao,PH,1584218001,72.63,91,66,3.29,9.19,117.81
338,Tambo,PE,1584218002,53.73,86,100,8.72,-14.8,-73.92
339,Laguna,US,1584218002,57.99,81,20,13.87,38.42,-121.42
340,Puerto Escondido,MX,1584218003,86.0,74,20,5.82,15.85,-97.07
341,Clyde River,CA,1584218003,-16.6,62,20,1.07,70.47,-68.59
342,Kalabo,ZM,1584218004,69.39,94,100,5.06,-14.97,22.68
343,Porto-Novo,BJ,1584218004,84.2,83,20,9.17,6.5,2.6
344,Severo-Kuril'sk,RU,1584218005,12.87,81,0,4.76,50.68,156.12
345,Mudanya,TR,1584218005,48.2,87,100,2.24,40.38,28.88
346,Sistranda,NO,1584218006,35.01,59,98,21.92,63.73,8.83
347,Lesosibirsk,RU,1584218006,29.07,86,96,11.01,58.24,92.48
348,Verkhnyaya Inta,RU,1584218007,4.05,92,97,8.63,65.98,60.31
349,Nova Olímpia,BR,1584218007,83.07,87,81,2.73,-14.8,-57.29
350,Beaufort,MY,1584217939,77.0,100,75,1.12,5.35,115.75
351,Saldanha,ZA,1584218008,64.4,88,0,9.17,-33.01,17.94
352,Andilamena,MG,1584218009,65.61,98,100,4.03,-17.02,48.58
353,Deputatsky,RU,1584218009,-35.91,98,0,1.28,69.3,139.9
354,Sørland,NO,1584218010,35.01,96,100,23.78,67.67,12.69
355,Port Hardy,CA,1584218010,37.4,32,5,13.87,50.7,-127.42
356,Yerofey Pavlovich,RU,1584218011,-13.77,81,0,2.68,53.97,121.97
357,Gamba,GA,1584218011,79.65,89,100,3.58,-2.65,10.0
358,Florianópolis,BR,1584218012,87.01,61,0,10.29,-27.61,-48.5
359,Turukhansk,RU,1584218012,30.51,96,100,14.45,65.82,87.98
360,Vievis,LT,1584218013,26.6,68,0,11.41,54.77,24.8
361,La Ronge,CA,1584218014,3.2,59,75,4.7,55.1,-105.28
362,Dhidhdhoo,MV,1584218014,83.61,75,95,7.49,6.88,73.1
363,Svoge,BG,1584218015,45.0,87,90,4.7,42.97,23.35
364,Nabire,ID,1584218015,71.01,97,100,2.13,-3.37,135.48
365,Mīnāb,IR,1584217961,68.0,72,75,4.7,27.15,57.08
366,Wuda,CN,1584218016,32.31,27,2,3.06,39.5,106.71
367,Sobolevo,RU,1584217980,25.47,62,35,14.58,54.43,31.9
368,Mahajanga,MG,1584218018,84.2,79,40,4.7,-15.72,46.32
369,Mareeba,AU,1584218018,69.8,88,31,1.12,-17.0,145.43
370,Port-de-Bouc,FR,1584218019,57.2,37,0,10.29,43.4,4.98
371,Olinda,BR,1584218019,86.0,62,75,8.05,-8.01,-34.86
372,Prince Rupert,CA,1584218020,33.8,26,1,10.29,54.32,-130.32
373,Kahului,US,1584218021,80.6,69,40,11.41,20.89,-156.47
374,Port-au-Prince,HT,1584218021,84.2,62,20,14.99,18.54,-72.33
375,Gazli,UZ,1584218022,60.21,39,41,11.77,40.13,63.45
376,Mahabalipuram,IN,1584218022,82.0,74,20,3.36,12.63,80.17
377,Bloemfontein,ZA,1584217727,60.8,87,0,1.12,-29.12,26.21
378,Mehrān,IR,1584217925,44.6,100,90,2.24,33.12,46.16
379,Guarapari,BR,1584218024,82.4,74,40,9.17,-20.67,-40.5
380,Sūsangerd,IR,1584217980,64.4,68,75,9.17,31.56,48.18
381,Taltal,CL,1584218025,69.03,68,0,7.58,-25.4,-70.48
382,Otradnoye,RU,1584218026,26.6,38,98,22.37,59.78,30.82
383,South Kazakhstan Region,KZ,1584218026,51.03,39,0,7.36,43.0,68.0
384,Severnyy,RU,1584218027,33.8,74,75,17.9,50.68,36.55
385,Bagdarin,RU,1584218027,6.03,85,55,2.51,54.43,113.6
386,Vulcan,RO,1584217800,28.71,79,100,3.83,45.38,23.27
387,Codrington,AU,1584218088,58.95,71,1,15.66,-38.27,141.97
388,Poopó,BO,1584218088,68.0,37,40,5.82,-18.37,-66.97
389,Klaksvík,FO,1584218089,35.6,74,100,11.41,62.23,-6.59
390,Namatanai,PG,1584218089,82.71,74,100,5.28,-3.67,152.43
391,Palana,RU,1584217966,16.29,74,100,22.7,59.12,159.97
392,Dwārka,IN,1584218091,75.69,52,100,13.69,22.24,68.97
393,Carman,CA,1584218091,17.6,67,75,5.82,49.5,-98.0
394,Taksimo,RU,1584218093,-1.53,94,100,0.87,56.34,114.88
395,Malhador,BR,1584218094,86.0,62,40,13.87,-10.66,-37.3
396,Rio Grande,BR,1584217926,77.0,88,90,14.99,-32.03,-52.1
397,Lipin Bor,RU,1584218095,17.91,93,74,4.38,60.26,37.98
398,Grindavik,IS,1584218095,26.6,68,40,11.41,63.84,-22.43
399,Souillac,MU,1584218096,77.0,94,75,3.36,-20.52,57.52
400,Knyaze-Volkonskoye,RU,1584218097,8.6,92,40,6.71,48.46,135.46
401,Dvinskoy Bereznik,RU,1584218098,20.43,93,100,6.93,62.86,42.71
402,Merke,KZ,1584218103,45.99,39,0,4.85,42.87,73.18
403,Isabela,PH,1584218103,72.09,88,100,4.09,6.71,121.97
404,Brownwood,US,1584218104,62.6,87,75,9.17,31.71,-98.99
405,Punta de Bombón,PE,1584218104,71.01,82,68,6.02,-17.17,-71.79
406,Loíza,PR,1584218105,82.99,69,40,11.41,18.43,-65.88
407,Lappeenranta,FI,1584217898,23.0,41,0,9.17,61.06,28.19
408,Narsaq,GL,1584218106,23.0,67,75,4.38,60.92,-46.05
409,Viedma,AR,1584218078,68.13,34,0,13.69,-40.81,-63.0
410,Tezu,IN,1584218107,65.79,69,100,2.66,27.92,96.17
411,Avera,US,1584218108,82.4,44,1,3.36,33.19,-82.53
412,Kiryat Gat,IL,1584218108,59.0,93,40,4.7,31.61,34.76
413,Ampanihy,MG,1584218109,77.13,66,100,4.5,-24.7,44.75
414,Beringovskiy,RU,1584218109,15.39,87,0,6.89,63.05,179.32
415,Lerwick,GB,1584218110,44.6,93,75,19.46,60.15,-1.15
416,Bonavista,CA,1584218110,37.0,81,68,21.99,48.65,-53.11
417,Yellowknife,CA,1584218111,5.0,54,90,11.41,62.46,-114.35
418,Ligayan,PH,1584218111,81.99,71,5,8.66,4.65,119.47
419,Qaqortoq,GL,1584218112,23.0,67,75,5.93,60.72,-46.03
420,Pyshchug,RU,1584218112,23.49,79,100,5.32,58.89,45.71
421,Tilichiki,RU,1584218113,27.45,96,100,16.08,60.47,166.1
422,Nanortalik,GL,1584218113,20.97,72,100,9.06,60.14,-45.24
423,Nantucket,US,1584218114,51.8,71,1,23.04,41.28,-70.1
424,Visby,SE,1584218114,35.01,55,0,11.41,57.64,18.3
425,Hlotse,LS,1584218115,58.41,55,16,3.15,-28.87,28.05
426,Beloha,MG,1584218115,73.35,82,100,11.41,-25.17,45.05
427,Sri Aman,MY,1584218116,75.2,100,100,2.15,1.24,111.46
428,Pandan,PH,1584218116,77.67,75,33,7.14,14.05,124.17
429,Rantauprapat,ID,1584218117,73.89,96,0,2.06,2.1,99.83
430,Sangar,RU,1584218117,-11.79,93,100,8.52,63.92,127.47
431,Swan Hill,AU,1584218117,50.0,85,0,4.0,-35.34,143.55
432,Shirokiy,RU,1584218118,6.39,91,100,9.1,49.76,129.52
433,Çanakkale Province,TR,1584218118,57.2,87,100,9.17,40.08,26.83
434,Mitú,CO,1584218119,80.37,78,91,1.99,1.2,-70.17
435,Cap Malheureux,MU,1584218119,77.0,94,75,3.36,-19.98,57.61
436,Madera,US,1584218120,64.4,56,40,17.22,37.17,-119.83
437,Russell,US,1584218120,86.0,37,20,6.93,32.35,-85.2
438,Benguela,AO,1584218124,79.29,81,100,3.36,-12.58,13.41
439,Paita,PE,1584218186,62.6,100,100,11.41,-5.09,-81.11
440,Sur,OM,1584218186,68.67,32,100,6.17,22.57,59.53
441,Bowen,AU,1584218187,71.01,88,100,3.38,-20.02,148.23
442,Ozernovskiy,RU,1584218187,21.15,65,100,2.01,51.5,156.52
443,Wasilla,US,1584218188,26.6,42,1,2.48,61.58,-149.44
444,Goundam,ML,1584218189,79.83,12,0,4.07,16.41,-3.67
445,Gejiu,CN,1584218189,54.09,95,65,3.15,23.31,103.16
446,Esna,EG,1584218190,68.0,60,0,7.83,25.29,32.55
447,Methóni,GR,1584218190,60.01,87,100,3.36,36.82,21.7
448,Blumenau,BR,1584218191,84.0,78,0,13.87,-26.92,-49.07
449,Ahipara,NZ,1584218192,66.0,100,0,1.01,-35.17,173.17
450,Shenjiamen,CN,1584218192,51.57,70,0,11.99,29.96,122.3
451,Xichang,CN,1584218193,37.17,90,63,3.0,27.9,102.26
452,Tessalit,ML,1584218193,77.31,11,72,9.6,20.2,1.01
453,San Jerónimo,PE,1584218194,56.07,57,89,4.18,-11.95,-75.28
454,Vanimo,PG,1584218194,81.09,82,100,17.98,-2.67,141.3
455,Bahraich,IN,1584218195,62.55,85,0,6.06,27.58,81.6
456,Juneau,US,1584218195,36.0,51,1,3.36,58.3,-134.42
457,Dingle,PH,1584218196,71.19,89,14,6.15,11.0,122.67
458,Awjilah,LY,1584218196,63.99,37,94,0.47,29.11,21.29
459,Estelle,US,1584218196,84.0,57,75,12.75,29.85,-90.11
460,Ilulissat,GL,1584218197,3.2,71,75,9.17,69.22,-51.1
461,Yulara,AU,1584218197,77.0,29,0,13.87,-25.24,130.99
462,Popova,RU,1584218198,26.6,92,100,3.38,42.96,131.72
463,Shubarshi,KZ,1584218198,43.83,69,100,12.82,48.59,57.19
464,Caniço,PT,1584218199,60.8,77,75,18.34,32.63,-16.85
465,Vila,PT,1584218199,55.99,87,0,6.93,42.03,-8.16
466,Aransas Pass,US,1584218200,79.0,83,90,13.87,27.91,-97.15
467,Cookeville,US,1584218200,55.4,93,90,6.93,36.16,-85.5
468,Buala,SB,1584218201,81.63,84,100,10.18,-8.14,159.59
469,Kenai,US,1584218201,24.01,66,1,5.82,60.55,-151.26
470,Esso,RU,1584218202,-5.49,94,20,3.78,55.93,158.7
471,Yanam,IN,1584218202,72.09,89,0,1.86,16.73,82.22
472,San-Pédro,CI,1584218204,83.79,78,99,13.62,4.75,-6.64
473,Porto Nacional,BR,1584218204,82.4,78,40,3.36,-10.71,-48.42
474,Pemangkat,ID,1584218206,75.51,92,67,4.47,1.17,108.97
475,Pacific Grove,US,1584218207,62.01,67,40,12.75,36.62,-121.92
476,Aksu,CN,1584217959,40.77,27,7,5.55,41.12,80.26
477,Pindiga,NG,1584218207,76.41,13,72,9.66,9.98,10.93
478,Plettenberg Bay,ZA,1584218208,64.89,86,18,6.91,-34.05,23.37
479,Kadiri,IN,1584218208,72.81,66,0,10.6,14.12,78.17
480,Price,US,1584218209,44.01,80,90,3.15,39.6,-110.81
481,Christchurch,NZ,1584218209,62.01,87,93,2.24,-43.53,172.63
482,Gigmoto,PH,1584218210,79.83,69,98,8.08,13.78,124.39
483,Bayan,CN,1584218210,17.55,94,100,10.65,46.08,127.4
484,Storforshei,NO,1584218211,12.51,90,100,6.11,66.4,14.52
485,Makakilo City,US,1584218211,80.6,73,75,5.82,21.35,-158.09
486,Evensk,RU,1584218212,14.49,95,100,9.35,61.95,159.23
487,Eugene,US,1584218212,48.99,70,75,6.93,44.05,-123.09
488,Esim,GH,1584218213,79.47,88,100,2.82,4.87,-2.24
489,Puerto Quijarro,BO,1584218213,89.55,57,36,4.18,-17.78,-57.77
490,Wisconsin Rapids,US,1584218214,34.0,58,90,6.62,44.38,-89.82
491,Khandagayty,RU,1584218214,-0.63,88,98,1.48,50.73,92.05
492,Zapolyarnyy,RU,1584218215,10.4,66,55,17.22,69.42,30.81
493,Sibu,MY,1584218275,77.0,94,75,2.24,2.3,111.82
494,Itoman,JP,1584218275,59.0,58,75,18.34,26.12,127.67
495,Omsukchan,RU,1584218129,-7.65,97,100,0.34,62.53,155.8
496,Jamame,SO,1584218277,82.71,84,81,16.08,0.07,42.75
497,Rock Sound,BS,1584218277,73.89,80,2,13.2,24.9,-76.2
498,Bambous Virieux,MU,1584218278,77.0,94,75,3.36,-20.34,57.76
499,Galle,LK,1584218161,80.37,75,34,9.08,6.04,80.22
500,São João da Barra,BR,1584218280,84.2,70,20,9.17,-21.64,-41.05
501,Antofagasta,CL,1584218231,69.8,68,20,16.11,-23.65,-70.4
502,Popondetta,PG,1584218281,72.09,90,100,4.25,-8.75,148.25
503,Zonguldak,TR,1584218282,43.83,94,37,2.15,41.25,31.83
504,Franklin,US,1584218282,36.0,86,90,3.36,39.97,-83.02
505,Indramayu,ID,1584218283,78.57,81,98,4.74,-6.33,108.32
506,Muros,ES,1584218284,54.0,87,7,3.36,42.78,-9.06
507,Xingcheng,CN,1584218284,36.45,53,0,11.81,40.62,120.72
508,San Quintín,MX,1584218285,62.91,67,43,12.06,30.48,-115.95
509,Omboué,GA,1584218285,77.85,93,100,1.41,-1.57,9.26
510,Thinadhoo,MV,1584218286,83.61,63,60,5.86,0.53,72.93
511,Acaraú,BR,1584218286,77.49,92,98,4.09,-2.89,-40.12
512,Banikoara,BJ,1584218287,83.25,12,99,5.39,11.3,2.44
513,Hakui,JP,1584218287,36.0,67,40,3.36,36.88,136.78
514,Ajdabiya,LY,1584218287,63.09,76,33,2.15,30.76,20.23
515,Frolovo,RU,1584218288,35.01,90,0,12.8,49.77,43.66
516,Xiuyan,CN,1584218288,29.07,59,0,10.18,40.29,123.27
517,Goderich,CA,1584218289,33.01,78,100,8.99,43.75,-81.72
518,Ayan,RU,1584218289,-6.39,68,0,11.72,56.45,138.17
519,Alvorada,BR,1584218290,79.65,85,100,3.42,-12.48,-49.12
520,Vao,NC,1584218290,83.25,82,100,21.39,-22.67,167.48
521,Ol'ga,RU,1584218291,30.33,78,99,14.79,43.74,135.29
522,Taoudenni,ML,1584218291,74.25,10,0,3.98,22.68,-3.98
523,Majene,ID,1584218292,74.43,87,100,2.8,-3.54,118.97
524,Tawang Town,IN,1584218292,31.95,97,100,1.88,27.58,91.87
525,Lovozero,RU,1584218293,4.05,88,25,9.78,68.0,35.01
526,Vardø,NO,1584218293,18.63,67,40,21.18,70.37,31.11
527,Kiama,AU,1584218294,60.01,62,98,6.93,-34.68,150.87
528,Diego de Almagro,CL,1584218294,81.81,25,0,12.35,-26.37,-70.05
529,Dudinka,RU,1584218295,30.2,100,75,22.37,69.41,86.18
530,Henties Bay,NA,1584218295,64.0,92,0,4.0,-22.12,14.28
531,Cardston,CA,1584218296,1.4,70,90,20.8,49.2,-113.3
532,Ishigaki,JP,1584218296,62.01,66,24,24.85,24.34,124.16
533,Anda,CN,1584218297,8.55,84,57,19.82,46.4,125.32
534,Talara,PE,1584218298,62.6,100,69,11.41,-4.58,-81.27
535,Evanston,US,1584218302,37.4,69,90,5.82,42.04,-87.69
536,San Policarpo,PH,1584218303,76.05,73,90,4.97,12.18,125.51
537,Rawson,AR,1584218303,61.65,64,0,12.82,-43.3,-65.1
538,Huilong,CN,1584218304,48.99,74,0,8.99,31.81,121.66
539,Saint-Augustin,CA,1584218304,30.15,79,97,16.96,51.23,-58.65
540,Mandapam,IN,1584218305,80.01,77,12,10.76,9.28,79.12
541,Barguzin,RU,1584218305,20.25,94,99,5.61,53.62,109.62
542,Ossora,RU,1584218306,16.47,72,90,7.16,59.24,163.07
543,Imeni Poliny Osipenko,RU,1584218306,-1.53,91,0,4.38,52.42,136.49
544,Angoche,MZ,1584218016,73.71,95,46,4.47,-16.23,39.91
545,Valley City,US,1584218308,23.0,79,20,11.41,46.92,-98.0
546,Atocha,BO,1584218308,56.25,50,100,7.56,-20.93,-66.23
547,Valparaíso,CL,1584218369,78.8,39,0,12.75,-33.04,-71.63
548,Umm Kaddadah,SD,1584218369,70.47,18,94,12.35,13.6,26.69
549,Shuya,RU,1584218370,26.37,87,100,14.97,56.85,41.39
550,Ambilobe,MG,1584218370,81.45,85,100,14.74,-13.2,49.05
551,Maiduguri,NG,1584218200,68.31,17,9,8.08,11.85,13.16
552,Chumikan,RU,1584218371,-1.89,82,0,5.28,54.72,135.31
553,Autun,FR,1584218372,46.0,80,19,3.36,46.95,4.3
554,San Jose,US,1584218372,57.2,62,75,16.11,37.34,-121.89
555,Labuhan,ID,1584218373,75.69,92,89,2.42,-6.88,112.21
556,New Amsterdam,GY,1584218373,83.25,66,46,8.39,6.25,-57.52
557,Melo,UY,1584218374,86.31,50,35,18.03,-32.37,-54.18
558,Maddūr,IN,1584218374,72.81,60,0,2.42,12.6,77.07
559,Ukiah,US,1584218181,54.0,57,75,5.82,39.15,-123.21
